序号,行政区划代码,模板填写行政区划名称,单位名称,组织机构编码,法人代表,联系人,联系电话,单位地址,单位类型,经济类型,所属行业,产业类别,自主创业情况,就业总人数,需求人数
4399,4311030802,冷水滩区黄阳司镇万福亭村,罗三平商店,43,罗三平,罗三平,8517391,冷水滩区黄阳司镇万福亭村,个体工商户,个体经营,其他,第三产业,其他,1,0
4427,4311030804,冷水滩区黄阳司镇坪湖塘村,盛本光个体运输,71,盛本光,盛本光,15907488576,冷水滩区黄阳司镇坪湖塘村,个体工商户,个体经营,交通运输仓储邮电通信,第三产业,其他,1,0
4428,4311030804,冷水滩区黄阳司镇坪湖塘村,唐钦福个体运输,72,唐钦福,唐钦福,15907488576,冷水滩区黄阳司镇坪湖塘村,个体工商户,个体经营,交通运输仓储邮电通信,第三产业,其他,1,0
4429,4311030804,冷水滩区黄阳司镇坪湖塘村,罗先东杂货零售,73,罗先东,罗先东,8517456,冷水滩区黄阳司镇坪湖塘村,个体工商户,个体经营,批发零售,第三产业,其他,1,0
4431,4311030804,冷水滩区黄阳司镇坪湖塘村,唐正生木材加工,75,唐正生,唐正生,13762991808,冷水滩区黄阳司镇坪湖塘村,个体工商户,个体经营,其他,第三产业,其他,1,0
4432,4311030804,冷水滩区黄阳司镇坪湖塘村,唐长寿杂货零售,76,唐长寿,唐长寿,8517155,冷水滩区黄阳司镇坪湖塘村,个体工商户,个体经营,批发零售,第三产业,其他,1,0
4433,4311030804,冷水滩区黄阳司镇坪湖塘村,唐秋元理发,77,唐秋元,唐秋元,15116682491,冷水滩区黄阳司镇坪湖塘村,个体工商户,个体经营,其他,第三产业,其他,1,0
4435,4311030804,冷水滩区黄阳司镇坪湖塘村,唐满生杂货零售,79,害满生,害满生,8518266,冷水滩区黄阳司镇坪湖塘村,个体工商户,个体经营,批发零售,第三产业,其他,1,0
4437,4311030804,冷水滩区黄阳司镇坪湖塘村,何爱国杂货零售,82,何爱国,何爱国,18932498059,冷水滩区黄阳司镇坪湖塘村,个体工商户,个体经营,批发零售,第三产业,其他,1,0
4439,4311030804,冷水滩区黄阳司镇坪湖塘村,盛梅保杂货零售,84,盛梅保,盛梅保,8517013,冷水滩区黄阳司镇坪湖塘村,个体工商户,个体经营,批发零售,第三产业,其他,1,0
4441,4311030804,冷水滩区黄阳司镇坪湖塘村,盛国富个体运输,86,盛国富,盛国富,15907488576,冷水滩区黄阳司镇坪湖塘村,个体工商户,个体经营,交通运输仓储邮电通信,第三产业,其他,1,0
4442,4311030804,冷水滩区黄阳司镇坪湖塘村,唐小知杂货零售,87,唐小知,唐小知,15676755500,冷水滩区黄阳司镇坪湖塘村,个体工商户,个体经营,批发零售,第三产业,其他,1,0
4443,4311030804,冷水滩区黄阳司镇坪湖塘村,唐江华杂货零售,88,唐江华,唐江华,8518118,冷水滩区黄阳司镇坪湖塘村,个体工商户,个体经营,批发零售,第三产业,其他,1,0
4446,4311030804,冷水滩区黄阳司镇坪湖塘村,何昌成杂货零售,91,何昌成,何昌成,8517029,冷水滩区黄阳司镇坪湖塘村,个体工商户,个体经营,批发零售,第三产业,其他,1,0
4450,4311030804,冷水滩区黄阳司镇坪湖塘村,罗六荣杂货零售,95,罗六荣,罗六荣,8517431,冷水滩区黄阳司镇坪湖塘村,个体工商户,个体经营,批发零售,第三产业,其他,1,0
4451,4311030804,冷水滩区黄阳司镇坪湖塘村,唐会斩杂货零售,96,唐会斩,唐会斩,13647467579,冷水滩区黄阳司镇坪湖塘村,个体工商户,个体经营,批发零售,第三产业,其他,1,0
4457,4311030804,冷水滩区黄阳司镇坪湖塘村,王孝江维修,102,王孝江,王孝江,18774695743,冷水滩区黄阳司镇坪湖塘村,个体工商户,个体经营,其他,第三产业,其他,1,0
4458,4311030804,冷水滩区黄阳司镇坪湖塘村,罗国华手机零售,103,罗国华,罗国华,13974615294,冷水滩区黄阳司镇坪湖塘村,个体工商户,个体经营,批发零售,第三产业,其他,1,0
4459,4311030804,冷水滩区黄阳司镇坪湖塘村,唐备战五金,104,唐备战,唐备战,13874615010,冷水滩区黄阳司镇坪湖塘村,个体工商户,个体经营,其他,第三产业,其他,1,0
4461,4311030804,冷水滩区黄阳司镇坪湖塘村,唐传栋杂货零售,106,唐传栋,唐传栋,13762990705,冷水滩区黄阳司镇坪湖塘村,个体工商户,个体经营,批发零售,第三产业,其他,1,0
4471,4311030805,冷水滩区黄阳司镇董安桥村,周德润个体运输,117,周德润,周德润,15607461856,冷水滩区黄阳司镇董安桥村,个体工商户,个体经营,交通运输仓储邮电通信,第三产业,其他,1,0
4505,4311030807,冷水滩区黄阳司镇郝皮桥村,个体小商店,152,盛基雄,盛基雄,15386291028,冷水滩区黄阳司镇郝皮桥村,个体工商户,个体经营,其他,第三产业,其他,1,0
4506,4311030807,冷水滩区黄阳司镇郝皮桥村,基建室内建筑,153,盛桂生,盛桂生,13762992058,冷水滩区黄阳司镇郝皮桥村,个体工商户,个体经营,建筑,第二产业,其他,1,0
